Specificity Examples: Test Yourself

Given the following selectors:
•	Determine what the selector is targeting
•	Order them and rank them from least specific to most specific (or determine the specificity score of each)
Feel free to use a specificity calculator tool to check your answer.

Label	Selector	                    Rank/Point Value from Calculator
A	    * { }	                        0, 0, 0
B	    li.cool { }	                  0, 1, 1
C	    li { }	                      0, 0, 1
D	    li::first-line { }            0, 0, 2
E	    ul li { }	                    0, 0, 2
F	    ul ol+li { }	                0, 0, 3
G	    ul ol li.red { }	            0, 1, 3
H	    li.red.level { }	            0, 2, 1
I	    inline-style (no point value)	1, 0, 0, 0
J	    p { }	                        0, 0, 1
K	    div p { }	                    0, 0, 2
L	    .ada { }	                    0, 1, 0
M	    div p.ada { }	                0, 1, 2
N	    #grace { }	                  1, 0, 0
O	    body #grace.ada p { }	        1, 1, 2
